account_scope,period_years,horizon_days,ticker,name,asset_type,account,currency,quantity,current_local_price,current_fx,fx_method,cost_fx_method,current_value,invested_cost,current_pnl,future_value_p10,future_value_p50,future_value_mean,future_value_p90,expected_pnl,contribution_to_change,hold_assumption,forecast_status,forecast_available,valuation_method,warning
전체,1,60,000660.KS,SK하이닉스,stock,통합,KRW,29.0,1500000.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),43500000.0,18675014.0,24824986.0,60657362.813140035,79545718.16445464,81245568.14781506,104123534.67036214,60870704.16445464,36045718.16445464,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,1,60,005930.KS,삼성전자,stock,통합,KRW,76.0,247500.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),18810000.0,10813432.0,7996568.0,28282515.929377574,30115926.93319824,30160891.218952473,32090760.486891605,19302494.93319824,11305926.93319824,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,1,60,SNDK,SanDisk,stock,통합,USD,51.0,1625.780029296875,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,115360169.49890077,41938297.559999995,73421871.93890077,266971596.8086527,359487744.47911334,371241633.6546501,486680629.3267562,317549446.91911334,244127574.98021257,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,1,60,RAM,RAM,stock,통합,USD,1792.0,12.069999694824219,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,30093256.67287731,26003443.2,4089813.4728773125,7703746.44768191,28744205.2914555,27691367.187181726,35819219.04486971,2740762.0914555006,-1349051.3814218119,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,1,60,KRW,원화예수금,cash,통합,KRW,855162.0,1.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),855162.0,855162.0,0.0,855162.0,855162.0,855162.0,855162.0,0.0,0.0,현재 수량 그대로 보유,cash_held_constant,False,cash_nominal_value,
전체,3,10,000660.KS,SK하이닉스,stock,통합,KRW,29.0,1500000.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),43500000.0,18675014.0,24824986.0,37633161.749344096,43086904.44360028,43153448.56958064,48840938.15558704,24411890.443600282,-413095.5563997179,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,3,10,005930.KS,삼성전자,stock,통합,KRW,76.0,247500.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),18810000.0,10813432.0,7996568.0,15363100.075344428,17576481.628677562,17683397.975966908,20193220.506606076,6763049.628677562,-1233518.3713224381,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,3,10,SNDK,SanDisk,stock,통합,USD,51.0,1625.780029296875,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,115360169.49890077,41938297.559999995,73421871.93890077,98630852.8051453,120719175.4730517,125401807.945123,158843257.75066102,78780877.9130517,5359005.974150926,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,3,10,RAM,RAM,stock,통합,USD,1792.0,12.069999694824219,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,30093256.67287731,26003443.2,4089813.4728773125,27371295.621290598,29901228.092096113,30402336.299983416,30901859.363703944,3897784.8920961134,-192028.58078119904,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,3,10,KRW,원화예수금,cash,통합,KRW,855162.0,1.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),855162.0,855162.0,0.0,855162.0,855162.0,855162.0,855162.0,0.0,0.0,현재 수량 그대로 보유,cash_held_constant,False,cash_nominal_value,
전체,3,30,000660.KS,SK하이닉스,stock,통합,KRW,29.0,1500000.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),43500000.0,18675014.0,24824986.0,46835437.88718551,61250769.41392805,62466751.08862169,79586389.70712097,42575755.41392805,17750769.413928047,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,3,30,005930.KS,삼성전자,stock,통합,KRW,76.0,247500.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),18810000.0,10813432.0,7996568.0,15816227.06751296,18734542.25746213,18870724.437347908,22131796.14269637,7921110.257462129,-75457.742537871,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,3,30,SNDK,SanDisk,stock,통합,USD,51.0,1625.780029296875,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,115360169.49890077,41938297.559999995,73421871.93890077,162268441.08358425,229246360.7926842,242928201.61477384,341594841.9386067,187308063.2326842,113886191.29378343,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,3,30,RAM,RAM,stock,통합,USD,1792.0,12.069999694824219,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,30093256.67287731,26003443.2,4089813.4728773125,14970599.22856281,29454403.56781073,29939362.98989138,31658048.174251955,3450960.36781073,-638853.1050665826,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,3,30,KRW,원화예수금,cash,통합,KRW,855162.0,1.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),855162.0,855162.0,0.0,855162.0,855162.0,855162.0,855162.0,0.0,0.0,현재 수량 그대로 보유,cash_held_constant,False,cash_nominal_value,
전체,3,60,000660.KS,SK하이닉스,stock,통합,KRW,29.0,1500000.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),43500000.0,18675014.0,24824986.0,55453334.863945045,78497401.58647221,81750863.78089389,112003483.33856754,59822387.58647221,34997401.58647221,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,3,60,005930.KS,삼성전자,stock,통합,KRW,76.0,247500.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),18810000.0,10813432.0,7996568.0,15103752.818860527,19113068.003794745,19500216.351494286,24221854.344398182,8299636.003794745,303068.0037947446,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,3,60,SNDK,SanDisk,stock,통합,USD,51.0,1625.780029296875,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,115360169.49890077,41938297.559999995,73421871.93890077,275157798.3895837,325972148.67042017,329565100.3476334,389180610.55999994,284033851.11042017,210611979.1715194,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,3,60,RAM,RAM,stock,통합,USD,1792.0,12.069999694824219,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,30093256.67287731,26003443.2,4089813.4728773125,7656713.641584191,28753843.718857758,27692899.08880885,36397444.41139202,2750400.5188577585,-1339412.954019554,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,3,60,KRW,원화예수금,cash,통합,KRW,855162.0,1.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),855162.0,855162.0,0.0,855162.0,855162.0,855162.0,855162.0,0.0,0.0,현재 수량 그대로 보유,cash_held_constant,False,cash_nominal_value,
전체,5,10,000660.KS,SK하이닉스,stock,통합,KRW,29.0,1500000.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),43500000.0,18675014.0,24824986.0,36436845.33734344,43966788.543546736,44264136.037244804,52451979.18076005,25291774.543546736,466788.54354673624,현재 수량 그대로 보유,forecasted,True,latest_market_price,
